N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
0	CL001	QL1	H54	ya	ya	C	1	ya te	ya te	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
1	CL001	QL1	H54	te	te	C	1	ya te	ya te	2	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
2	CL001	QL1	H54	***	rre	I	0	*** no lu	rre lo lu	3	**	*	rr	e	Other	Other	Other	Aprox	Voiced	Coronal	0	0	0	0	0	
3	CL001	QL1	H54	no	lo	S	0	*** no lu	rre lo lu	3	n	o	l	o	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
4	CL001	QL1	H54	lu	lu	C	1	*** no lu	rre lo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
5	CL001	QL1	H54	chu	chu	C	1	chu lo	chu lo	2	ch	u	ch	u	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
6	CL001	QL1	H54	lo	lo	C	1	chu lo	chu lo	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
7	CL001	QL1	H54	pa	pa	C	1	pa ba ri no	pa ba ri no	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
8	CL001	QL1	H54	ba	ba	C	1	pa ba ri no	pa ba ri no	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
9	CL001	QL1	H54	ri	ri	C	1	pa ba ri no	pa ba ri no	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
10	CL001	QL1	H54	no	no	C	1	pa ba ri no	pa ba ri no	4	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
11	CL001	QL1	H54	ko	ko	C	1	ko pa di	ko pa ri	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
12	CL001	QL1	H54	pa	pa	C	1	ko pa di	ko pa ri	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
13	CL001	QL1	H54	di	ri	S	0	ko pa di	ko pa ri	3	d	i	r	i	Ocl	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
14	CL001	QL1	H54	li	li	C	1	li ga	li ga	2	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
15	CL001	QL1	H54	ga	ga	C	1	li ga	li ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
16	CL001	QL1	H54	be	be	C	1	be yo lu	be yo lu	3	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
17	CL001	QL1	H54	yo	yo	C	1	be yo lu	be yo lu	3	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
18	CL001	QL1	H54	lu	lu	C	1	be yo lu	be yo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
19	CL001	QL1	H54	so	so	C	1	so te lo	so te lo	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
20	CL001	QL1	H54	te	te	C	1	so te lo	so te lo	3	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
21	CL001	QL1	H54	lo	lo	C	1	so te lo	so te lo	3	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
22	CL001	QL1	H54	ma	ma	C	1	ma re xa za	ma re xa za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
23	CL001	QL1	H54	re	re	C	1	ma re xa za	ma re xa za	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
24	CL001	QL1	H54	xa	xa	C	1	ma re xa za	ma re xa za	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
25	CL001	QL1	H54	za	za	C	1	ma re xa za	ma re xa za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
26	CL001	QL1	H54	nu	mu	S	0	nu me ro	mu me ro	3	n	u	m	u	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
27	CL001	QL1	H54	me	me	C	1	nu me ro	mu me ro	3	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
28	CL001	QL1	H54	ro	ro	C	1	nu me ro	mu me ro	3	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
29	CL001	QL1	H54	ka	ka	C	1	ka pi tu bo	ka pi tu po	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
30	CL001	QL1	H54	pi	pi	C	1	ka pi tu bo	ka pi tu po	4	p	i	p	i	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
31	CL001	QL1	H54	tu	tu	C	1	ka pi tu bo	ka pi tu po	4	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
32	CL001	QL1	H54	bo	po	S	0	ka pi tu bo	ka pi tu po	4	b	o	p	o	Ocl	Voiced	Frontal	Ocl	Vless	Frontal	0	1	1	0	1	
33	CL001	QL1	H54	bi	di	S	0	bi ka	di ka	2	b	i	d	i	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
34	CL001	QL1	H54	ka	ka	C	1	bi ka	di ka	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
35	CL001	QL1	H54	ba	ba	C	1	ba fe	ba ze	2	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
36	CL001	QL1	H54	fe	ze	S	0	ba fe	ba ze	2	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
37	CL001	QL1	H54	ti	ti	C	1	ti bo	ti bo	2	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
38	CL001	QL1	H54	bo	bo	C	1	ti bo	ti bo	2	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
39	CL001	QL1	H54	ka	ka	C	1	ka yi	ka yi	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
40	CL001	QL1	H54	yi	yi	C	1	ka yi	ka yi	2	y	i	y	i	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
41	CL001	QL1	H54	fo	fo	C	1	fo bo xe ma	fo bo xe ma	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
42	CL001	QL1	H54	bo	bo	C	1	fo bo xe ma	fo bo xe ma	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
43	CL001	QL1	H54	xe	xe	C	1	fo bo xe ma	fo bo xe ma	4	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
44	CL001	QL1	H54	ma	ma	C	1	fo bo xe ma	fo bo xe ma	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
45	CL001	QL1	H54	pa	pa	C	1	pa ne	pa ne	2	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
46	CL001	QL1	H54	ne	ne	C	1	pa ne	pa ne	2	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
47	CL001	QL1	H54	tu	tu	C	1	tu fo	tu fo	2	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
48	CL001	QL1	H54	fo	fo	C	1	tu fo	tu fo	2	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
49	CL001	QL1	H54	sa	sa	C	1	sa te li to	sa ze li to	4	s	a	s	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
50	CL001	QL1	H54	te	ze	S	0	sa te li to	sa ze li to	4	t	e	z	e	Ocl	Vless	Coronal	fric	Vless	Coronal	0	1	0	1	1	
51	CL001	QL1	H54	li	li	C	1	sa te li to	sa ze li to	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
52	CL001	QL1	H54	to	to	C	1	sa te li to	sa ze li to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
53	CL001	QL1	H54	fe	fe	C	1	fe cha	fe cha	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
54	CL001	QL1	H54	cha	cha	C	1	fe cha	fe cha	2	ch	a	ch	a	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
55	CL001	QL1	H54	pe	pe	C	1	pe mi	pe ni	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
56	CL001	QL1	H54	mi	ni	S	0	pe mi	pe ni	2	m	i	n	i	nas	Voiced	Frontal	nas	Voiced	Coronal	0	1	1	1	0	
57	CL001	QL1	H54	di	di	C	1	di ne so	di me so	3	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
58	CL001	QL1	H54	ne	me	S	0	di ne so	di me so	3	n	e	m	e	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
59	CL001	QL1	H54	so	so	C	1	di ne so	di me so	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
60	CL001	QL1	H54	ka	ka	C	1	ka ba ye te	ka ba ye te	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
61	CL001	QL1	H54	ba	ba	C	1	ka ba ye te	ka ba ye te	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
62	CL001	QL1	H54	ye	ye	C	1	ka ba ye te	ka ba ye te	4	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
63	CL001	QL1	H54	te	te	C	1	ka ba ye te	ka ba ye te	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
64	CL001	QL1	H54	ti	ti	C	1	ti tu lo	ti tu lo	3	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
65	CL001	QL1	H54	tu	tu	C	1	ti tu lo	ti tu lo	3	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
66	CL001	QL1	H54	lo	lo	C	1	ti tu lo	ti tu lo	3	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
67	CL001	QL1	H54	ko	ko	C	1	ko li za	ko li za	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
68	CL001	QL1	H54	li	li	C	1	ko li za	ko li za	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
69	CL001	QL1	H54	za	za	C	1	ko li za	ko li za	3	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
70	CL001	QL1	H54	ka	ka	C	1	ka rro ma do	ka rro ma do	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
71	CL001	QL1	H54	rro	rro	C	1	ka rro ma do	ka rro ma do	4	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
72	CL001	QL1	H54	ma	ma	C	1	ka rro ma do	ka rro ma do	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
73	CL001	QL1	H54	do	do	C	1	ka rro ma do	ka rro ma do	4	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
74	CL001	QL1	H54	gi	gi	C	1	gi nyo	gi nyo	2	g	i	g	i	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
75	CL001	QL1	H54	nyo	nyo	C	1	gi nyo	gi nyo	2	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
76	CL001	QL1	H54	ma	ma	C	1	ma nya da	ma nya da	3	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
77	CL001	QL1	H54	nya	nya	C	1	ma nya da	ma nya da	3	ny	a	ny	a	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
78	CL001	QL1	H54	da	da	C	1	ma nya da	ma nya da	3	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
79	CL001	QL1	H54	za	za	C	1	za fe lu di	za ze lu di	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
80	CL001	QL1	H54	fe	ze	S	0	za fe lu di	za ze lu di	4	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
81	CL001	QL1	H54	lu	lu	C	1	za fe lu di	za ze lu di	4	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
82	CL001	QL1	H54	di	di	C	1	za fe lu di	za ze lu di	4	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
83	CL001	QL1	H54	la	la	C	1	la ro	la rru	2	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
84	CL001	QL1	H54	ro	rru	S	0	la ro	la rru	2	r	o	rr	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	0	0	1	1	1	
85	CL001	QL1	H54	zi	zi	C	1	zi ne	zi me	2	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
86	CL001	QL1	H54	ne	me	S	0	zi ne	zi me	2	n	e	m	e	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
87	CL001	QL1	H54	se	se	C	1	se nyo ri ta	se nyo ri ta	4	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
88	CL001	QL1	H54	nyo	nyo	C	1	se nyo ri ta	se nyo ri ta	4	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
89	CL001	QL1	H54	ri	ri	C	1	se nyo ri ta	se nyo ri ta	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
90	CL001	QL1	H54	ta	ta	C	1	se nyo ri ta	se nyo ri ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
91	CL001	QL1	H54	no	no	C	1	no fe	no fe	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
92	CL001	QL1	H54	fe	fe	C	1	no fe	no fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
93	CL001	QL1	H54	pe	pe	C	1	pe li ku la	pe li ku la	4	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
94	CL001	QL1	H54	li	li	C	1	pe li ku la	pe li ku la	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
95	CL001	QL1	H54	ku	ku	C	1	pe li ku la	pe li ku la	4	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
96	CL001	QL1	H54	la	la	C	1	pe li ku la	pe li ku la	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
97	CL001	QL1	H54	mo	mo	C	1	mo de	mo de	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
98	CL001	QL1	H54	de	de	C	1	mo de	mo de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
99	CL001	QL1	H54	ku	ku	C	1	ku xo ba	ku xo ba	3	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
100	CL001	QL1	H54	xo	xo	C	1	ku xo ba	ku xo ba	3	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
101	CL001	QL1	H54	ba	ba	C	1	ku xo ba	ku xo ba	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
102	CL001	QL1	H54	fu	fu	C	1	fu xo	fu xo	2	f	u	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
103	CL001	QL1	H54	xo	xo	C	1	fu xo	fu xo	2	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
104	CL001	QL1	H54	se	se	C	1	se ku	se ku	2	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
105	CL001	QL1	H54	ku	ku	C	1	se ku	se ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
106	CL001	QL1	H54	to	to	C	1	to rre	to rre	2	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
107	CL001	QL1	H54	rre	rre	C	1	to rre	to rre	2	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
108	CL001	QL1	H54	do	do	C	1	do fe	do fe	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
109	CL001	QL1	H54	fe	fe	C	1	do fe	do fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
110	CL001	QL1	H54	ba	ba	C	1	ba rre nyo	ba rre nyo	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
111	CL001	QL1	H54	rre	rre	C	1	ba rre nyo	ba rre nyo	3	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
112	CL001	QL1	H54	nyo	nyo	C	1	ba rre nyo	ba rre nyo	3	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
113	CL001	QL1	H54	me	me	C	1	me la ni to	me ra ni to	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
114	CL001	QL1	H54	la	ra	S	0	me la ni to	me ra ni to	4	l	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	1	1	1	
115	CL001	QL1	H54	ni	ni	C	1	me la ni to	me ra ni to	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
116	CL001	QL1	H54	to	to	C	1	me la ni to	me ra ni to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
117	CL001	QL1	H54	ta	ta	C	1	ta le go	ta le bo	3	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
118	CL001	QL1	H54	le	le	C	1	ta le go	ta le bo	3	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
119	CL001	QL1	H54	go	bo	S	0	ta le go	ta le bo	3	g	o	b	o	Ocl	Voiced	back	Ocl	Voiced	Frontal	0	1	1	1	0	
120	CL001	QL1	H54	pe	pe	C	1	pe no	pe ro	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
121	CL001	QL1	H54	no	ro	S	0	pe no	pe ro	2	n	o	r	o	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
122	CL001	QL1	H54	xe	xe	C	1	xe ra	xe ra	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
123	CL001	QL1	H54	ra	ra	C	1	xe ra	xe ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
124	CL001	QL1	H54	pa	pa	C	1	pa le ti ya	pa le ti ya	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
125	CL001	QL1	H54	le	le	C	1	pa le ti ya	pa le ti ya	4	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
126	CL001	QL1	H54	ti	ti	C	1	pa le ti ya	pa le ti ya	4	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
127	CL001	QL1	H54	ya	ya	C	1	pa le ti ya	pa le ti ya	4	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
128	CL001	QL1	H54	ka	***	D	0	ka rro fa	*** rro za	3	k	a	**	*	Ocl	Vless	back	Other	Other	Other	0	0	0	0	0	
129	CL001	QL1	H54	rro	rro	C	1	ka rro fa	*** rro za	3	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
130	CL001	QL1	H54	fa	za	S	0	ka rro fa	*** rro za	3	f	a	z	a	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
131	CL001	QL1	H54	ma	rra	S	0	ma po	rra po	2	m	a	rr	a	nas	Voiced	Frontal	Aprox	Voiced	Coronal	0	1	0	1	0	
132	CL001	QL1	H54	po	po	C	1	ma po	rra po	2	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
133	CL001	QL2	H54	so	so	C	1	so ya	so ya	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
134	CL001	QL2	H54	ya	ya	C	1	so ya	so ya	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
135	CL001	QL2	H54	be	de	S	0	be ta	de ka	2	b	e	d	e	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
136	CL001	QL2	H54	ta	ka	S	0	be ta	de ka	2	t	a	k	a	Ocl	Vless	Coronal	Ocl	Vless	back	0	1	1	1	0	
137	CL001	QL2	H54	me	me	C	1	me ze do ta	me se to ta	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
138	CL001	QL2	H54	ze	se	S	0	me ze do ta	me se to ta	4	z	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	0	1	1	1	1	
139	CL001	QL2	H54	do	to	S	0	me ze do ta	me se to ta	4	d	o	t	o	Ocl	Voiced	Coronal	Ocl	Vless	Coronal	0	1	1	0	1	
140	CL001	QL2	H54	ta	ta	C	1	me ze do ta	me se to ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
141	CL001	QL2	H54	ko	ko	C	1	ko li ya	ko li ya	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
142	CL001	QL2	H54	li	li	C	1	ko li ya	ko li ya	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
143	CL001	QL2	H54	ya	ya	C	1	ko li ya	ko li ya	3	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
144	CL001	QL2	H54	bu	bu	C	1	bu de	bu de	2	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
145	CL001	QL2	H54	de	de	C	1	bu de	bu de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
146	CL001	QL2	H54	mo	mo	C	1	mo ku	mo ku	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
147	CL001	QL2	H54	ku	ku	C	1	mo ku	mo ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
148	CL001	QL2	H54	lo	lo	C	1	lo ra	lo ra	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
149	CL001	QL2	H54	ra	ra	C	1	lo ra	lo ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
150	CL001	QL2	H54	xe	xe	C	1	xe ta	xe ta	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
151	CL001	QL2	H54	ta	ta	C	1	xe ta	xe ta	2	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
152	CL001	QL2	H54	bu	bu	C	1	bu fe lu	bu fe lu	3	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
153	CL001	QL2	H54	fe	fe	C	1	bu fe lu	bu fe lu	3	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
154	CL001	QL2	H54	lu	lu	C	1	bu fe lu	bu fe lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
155	CL001	QL2	H54	ma	ma	C	1	ma ni be za	ma ni be za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
156	CL001	QL2	H54	ni	ni	C	1	ma ni be za	ma ni be za	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
157	CL001	QL2	H54	be	be	C	1	ma ni be za	ma ni be za	4	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
158	CL001	QL2	H54	za	za	C	1	ma ni be za	ma ni be za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
159	CL001	QL2	H54	ma	ma	C	1	ma re xa la	ma re xa da	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
160	CL001	QL2	H54	re	re	C	1	ma re xa la	ma re xa da	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
161	CL001	QL2	H54	xa	xa	C	1	ma re xa la	ma re xa da	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
162	CL001	QL2	H54	la	da	S	0	ma re xa la	ma re xa da	4	l	a	d	a	Aprox	Voiced	Coronal	Ocl	Voiced	Coronal	0	1	0	1	1	
163	CL001	QL2	H54	pe	pe	C	1	pe so	pe so	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
164	CL001	QL2	H54	so	so	C	1	pe so	pe so	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
165	CL001	QL2	H54	sa	sa	C	1	sa te li te	sa ze li ti	4	s	a	s	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
166	CL001	QL2	H54	te	ze	S	0	sa te li te	sa ze li ti	4	t	e	z	e	Ocl	Vless	Coronal	fric	Vless	Coronal	0	1	0	1	1	
167	CL001	QL2	H54	li	li	C	1	sa te li te	sa ze li ti	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
